@relation numericData

@attribute Case_no numeric
@attribute checking_status_no_checking numeric
@attribute checking_status_more_200 numeric
@attribute checking_status_0_and_200 numeric
@attribute checking_status_less_0 numeric
@attribute credit_history_no_credits numeric
@attribute credit_history_existing_paid numeric
@attribute credit_history_delayed_previsoulsy numeric
@attribute credit_history_critical numeric
@attribute credit_history_all_paid numeric
@attribute purpose_retraining numeric
@attribute purpose_repairs numeric
@attribute purpose_radio_tv numeric
@attribute purpose_other numeric
@attribute purpose_furniture_equipment numeric
@attribute prupose_education numeric
@attribute purpose_business numeric
@attribute purpose_used_car numeric
@attribute purpose_new_car numeric
@attribute purpose_domestic_appliance numeric
@attribute credit_amount numeric
@attribute saving_<100 numeric
@attribute saving_no_saving numeric
@attribute saving_500<=X<1000 numeric
@attribute saving_100<=X<500 numeric
@attribute saving_>=1000 numeric
@attribute employment_<1 numeric
@attribute employment_unemployed numeric
@attribute employment_4<=X<7 numeric
@attribute employment_1<=X<4 numeric
@attribute employment>=7 numeric
@attribute male_mar/wid numeric
@attribute male_div/sep numeric
@attribute male_single numeric
@attribute female_div/dep/mar numeric
@attribute age numeric
@attribute unskilled_resident numeric
@attribute high_qualif/self_emp/mgmt numeric
@attribute skilled numeric
@attribute unemp_or_unskilled_non_res numeric
@attribute class_is_bad numeric
@attribute class_is_good numeric

@data
1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1169,0,1,0,0,0,0,0,0,0,1,0,0,1,0,67,0,0,1,0,0,1
2,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,5951,1,0,0,0,0,0,0,0,1,0,0,0,0,1,22,0,0,1,0,1,0
3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2096,1,0,0,0,0,0,0,1,0,0,0,0,1,0,49,1,0,0,0,0,1
4,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,7882,1,0,0,0,0,0,0,1,0,0,0,0,1,0,45,0,0,1,0,0,1
5,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4870,1,0,0,0,0,0,0,0,1,0,0,0,1,0,53,0,0,1,0,1,0
6,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,9055,0,1,0,0,0,0,0,0,1,0,0,0,1,0,35,1,0,0,0,0,1
7,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2835,0,0,1,0,0,0,0,0,0,1,0,0,1,0,53,0,0,1,0,0,1
8,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,6948,1,0,0,0,0,0,0,0,1,0,0,0,1,0,35,0,1,0,0,0,1
9,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3059,0,0,0,0,1,0,0,1,0,0,0,1,0,0,61,1,0,0,0,0,1
10,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,5234,1,0,0,0,0,0,1,0,0,0,1,0,0,0,28,0,1,0,0,1,0
11,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1295,1,0,0,0,0,1,0,0,0,0,0,0,0,1,25,0,0,1,0,1,0
12,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,4308,1,0,0,0,0,1,0,0,0,0,0,0,0,1,24,0,0,1,0,1,0
13,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1567,1,0,0,0,0,0,0,0,1,0,0,0,0,1,22,0,0,1,0,0,1
14,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1199,1,0,0,0,0,0,0,0,0,1,0,0,1,0,60,1,0,0,0,1,0
15,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1403,1,0,0,0,0,0,0,0,1,0,0,0,0,1,28,0,0,1,0,0,1
16,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1282,0,0,0,1,0,0,0,0,1,0,0,0,0,1,32,1,0,0,0,1,0
17,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,2424,0,1,0,0,0,0,0,0,0,1,0,0,1,0,53,0,0,1,0,0,1
18,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8072,0,1,0,0,0,1,0,0,0,0,0,0,1,0,25,0,0,1,0,0,1
19,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,12579,1,0,0,0,0,0,0,0,0,1,0,0,0,1,44,0,1,0,0,1,0
20,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,3430,0,0,1,0,0,0,0,0,0,1,0,0,1,0,31,0,0,1,0,0,1
21,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2134,1,0,0,0,0,0,0,0,1,0,0,0,1,0,48,0,0,1,0,0,1
22,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2647,0,0,1,0,0,0,0,0,1,0,0,0,1,0,44,0,0,1,0,0,1
23,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,2241,1,0,0,0,0,1,0,0,0,0,0,0,1,0,48,1,0,0,0,0,1
24,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1804,0,0,0,1,0,1,0,0,0,0,0,0,1,0,44,0,0,1,0,0,1
25,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2069,0,1,0,0,0,0,0,0,1,0,1,0,0,0,26,0,0,1,0,0,1
27,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,426,1,0,0,0,0,0,0,0,0,1,1,0,0,0,39,1,0,0,0,0,1
28,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,409,0,0,0,0,1,0,0,0,1,0,0,0,0,1,42,0,0,1,0,0,1
29,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2415,1,0,0,0,0,0,0,0,1,0,0,0,1,0,34,0,0,1,0,0,1
30,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,6836,1,0,0,0,0,0,0,0,0,1,0,0,1,0,63,0,0,1,0,1,0
31,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1913,0,0,0,0,1,1,0,0,0,0,1,0,0,0,36,0,0,1,0,0,1
32,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,4020,1,0,0,0,0,0,0,0,1,0,0,0,1,0,27,0,0,1,0,0,1
33,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,5866,0,0,0,1,0,0,0,0,1,0,0,0,1,0,30,0,0,1,0,0,1
34,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1264,0,1,0,0,0,0,0,0,0,1,0,0,1,0,57,1,0,0,0,0,1
35,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1474,1,0,0,0,0,1,0,0,0,0,0,0,0,1,33,0,1,0,0,0,1
36,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,4746,1,0,0,0,0,1,0,0,0,0,0,0,1,0,25,1,0,0,0,1,0
37,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,6110,1,0,0,0,0,0,0,0,1,0,0,0,1,0,31,0,0,1,0,0,1
38,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,2100,1,0,0,0,0,0,0,0,1,0,0,0,1,0,37,0,0,1,0,1,0
